游戏全称,游戏名称,数仓名称,app_id,游戏状态,过审日期,投放状态,广告策略,开发负责人,关键词,投放ad_id,package_name,key,,,,,,,,,,
Newford City,Find,TTG_Find,7595042681097553976,已过审,,正常投放,现金流,煜东,nfc,7611122220508839937/7611380576775389191,tt.game.find,mg3isnh3o8h76mer,,,,,,,,,,
Block Blast - Puzzle Game,Block,TTG_Block,7632132907166976007,已过审,,正常投放,现金流,煜东,bkj,7621875002966097938,tt.game.block,mgkcjme1ldkw46qc,,,,,,,,,,
Block Bloom ,Block2,TTG_Block2,7644796194636367879,已过审,,正常投放,现金流,煜东,bk2,7643778672918511623,tt.game.block2,mg7po3ss5eayrfcl,,,,,,,,,,
Block Pop,Block3,TTG_Block3,7644860453776033799,已过审,,正常投放,现金流,煜东,bk3,7643778469834407954,tt.game.block3,mgxzn36fuw6gkfl5,,,,,,,,,,
Brick Block Blast,Block4,TTG_Block4,7644859236446472210,已过审,,,现金流,煜东,bk4,,tt.game.block4,mgmqofineoq4pdti,,,,,,,,,,
Colorful Block Puzzle,Block5,TTG_Block5,7644860562911889426,已过审,,,现金流,煜东,bk5,,tt.game.block5,mga5nnaztw5nsf8y,,,,,,,,,,
Mah jong Match,Mahjong,TTG_Maj,7642309714142922759,已过审,,正常投放,现金流,煜东,mjm,7643778514264604690,tt.game.mahjong,mgomyeseqyogohmx,,,,,,,,,,
Mah jong Pop,Mahjong2,TTG_Maj2,7647432313853167624,已过审,,正常投放,现金流,煜东,mm2,7643778557218586642,tt.game.mahjong2,mg869yrt95bmd7ve,,,,,,,,,,
Mah jong Master,Mahjong3,TTG_Maj3,7647432313853184008,已过审,,,现金流,煜东,mm3,,tt.game.mahjong3,mgwhdc660m68vpaf,,,,,,,,,,
Mah jong Tile Match,Mahjong4,TTG_Maj4,7647436351087953928,已过审,,,现金流,煜东,mm4,,tt.game.mahjong4,mg02db9hsgdtxzpd,,,,,,,,,,
Mah Jong Puzzle,Mahjong5,TTG_Maj5,7647436351087872008,已过审,,,现金流,煜东,mm5,,tt.game.mahjong5,mgb8uugrhbccf57i,,,,,,,,,,
PlotPlay,PP,TTG_PP,7638523566493648903,已过审,,正常投放,现金流,煜东,ptp,7637026180654399495,tt.game.plotplay,mgxw7pqnnh7fcohs,,,,,,,,,,
Romance,PP2,TTG_PP2,7647429173816084498,已过审,,正常投放,现金流,煜东,pp2,7643778888334278674,tt.game.plotplay2,mgtllhrv0tr0seml,,,,,,,,,,
Love Fate,PP3,TTG_PP3,7647432313853036552,已过审,,,现金流,煜东,pp3,,tt.game.plotplay3,mghl744cvl4d9tio,,,,,,,,,,
Drama Stuck,PP4,TTG_PP4,7647429173816117266,开发中,,,,,,,tt.game.plotplay4,mgbfn1x9eupdxig3,,,,,,,,,,
Dream Moments,PP5,TTG_PP5,7647432313853085704,开发中,,,,,,,tt.game.plotplay5,mgikrznorbjgx19k,,,,,,,,,,
